Name,Quantity,Single Unit Price,Total Price,URL/LCSC,Vendor (LCSC unless otheriwse indicated),
Electronics,,,,,,
C5 0603 0.1uF,3,,$0.45,C49678,,
C3 0603 10uF,1,,$0.13,C19702,,
C4 0603 22uF,1,,$0.18,C59461,,
LED 0603,1,,$0.32,C965799,,
SK6812MINI,2,,$0.37,C5149201,,
schottky diode,2,,,C85098,,With NotAHackPad
BSS138 (Level Shifter),1,,,C82045,,With NotAHackPad
USB_C_Receptacle,1,,$0.38,C2988369,,
2.2µH/±20%/1.5A Inductor,1,,$0.67,C171762,,
0603 R5.1kΩ,2,,$0.09,C2907044,,
0603 1.8M,1,,$0.08,C2930026,,
0603 200k,1,,$0.12,C105574,,
0603 120Ω,1,,$0.13,C114640,,
0603 10K,3,,,C98220,With NotAHackPad,
0603 15kΩ,1,,$0.09,C2906995,,
0603 100kΩ,2,,$0.10,C14675,,
SW_Push_SPST_NO_Alps_SKRK,2,,$0.63,C115357,,
NanoS3,1,,$19.00,https://unexpectedmaker.com/shop.html#!/NanoS3/p/577095557/category=154217256,UM,
TPS61200DRC,1,,$1.63,C140320,,
PS4 Joystick Hall Effect,1,,$4.59,https://www.aliexpress.com/item/1005008600410715.html,,
BT2.0 U CablePigtail (180),1,,$8.20,https://www.aliexpress.com/item/1005008719531779.html,,
Battery,1,,$25.79,https://www.aliexpress.com/item/1005008702820863.html,,
LCSC Shipping/handling,,,$15.14,,,
UM Shipping,,,$12.95,,,
Keys,,,,,,
Outemu Silent Grays,1,$22.38,$22.38,https://www.aliexpress.com/item/1005007052759423.html,,
Key Caps - Printed,,,$0.00,,,
JLC,,,,,,
PCB with stencil,1,$9.00,$9.00,,,
Shipping,1,$16.88,$16.88,,,
,,,,,,
,,,$60.96,CAD,,
,,,$59.34,USD,,
,,,$103.89,Total - USD,,